,,East,,Central,,West,
Day,Date,Songlist,Recording,Songlist,Recording,Songlist,Recording
1,5/2/2022,https://gist.github.com/1908198c8fe54f9cf13c0475d2f56926,https://youtu.be/5-BYCEOfb4o,https://gist.github.com/2c985125a50109ccdca6c852539543f3,https://youtu.be/Mf_N0SZYORc,https://gist.github.com/77e50e2c717c59f2d4e3312120a68ecc,https://youtu.be/j-KjFADmOPI
2,5/3/2022,https://gist.github.com/4cdd04ccb0230b6e60911fd37f156361,https://youtu.be/vxw01b9m7oc,https://gist.github.com/5b9c209ccd6f9ba5a4f82f369c2835ef,https://youtu.be/fvL7StJFu04,https://gist.github.com/24097bf1fc23ec2fec388eac63364e30,https://youtu.be/6yhYT4BeKtY
3,5/4/2022,https://gist.github.com/bb2ed8981609d12236d8786a60c5895a,https://youtu.be/jOedPEp37Q8,https://gist.github.com/19f0a5bb69610bd8ab1349cf64ebb611,https://youtu.be/QBola9TSRoU,https://gist.github.com/55ed06803bfbaac901db3bd8a8644548,https://youtu.be/6a6TMu87ODc
4,5/5/2022,https://gist.github.com/ef1660bca8af079efbd90d55eee84ef4,https://youtu.be/rVRqzx36a0Y,,,https://gist.github.com/b788493cc16d9871b09657252036a4b0,https://youtu.be/HkbB75FCFDw
5,5/6/2022,https://gist.github.com/6abf5cc420f4205b315787217903ee4a,https://youtu.be/4Rp30Y7Pj40,https://gist.github.com/81d8e89a5fc4ea4787f0d4b307ab1b7c,https://youtu.be/cLkwYPc7cqA,https://gist.github.com/68412080829d423f74234f8c1d13c28e,https://youtu.be/GkSb17KQRlI
6,5/7/2022,https://gist.github.com/ae2a76cedaf29918719694afa41de800,https://youtu.be/i6pBSoIajEo,https://gist.github.com/9ed0b6a59ab0724a085bc8c18930ccf7,https://youtu.be/aHr-xpcAHIE,https://gist.github.com/7486ffc38afbe2b086e7dcff07bd6f12,https://youtu.be/FLxXf1naoi0
7,5/8/2022,https://gist.github.com/358bd4658ca9f0c250e898592ae6500f,https://youtu.be/Giuz36BRpF0,https://gist.github.com/565deb91bf28cd0ed6eea37dbb90060f,https://youtu.be/GoZiYBVo0oo,https://gist.github.com/433755d67c2ceda5afe67d35e5ff08c4,https://youtu.be/U0WfHeyew9k
8,5/9/2022,https://gist.github.com/1e5d7dfb35cd53b9fab686f744963c8c,https://youtu.be/ChsaacowMjI,https://gist.github.com/7639cc2cdc12606b9ea03b9670d212a7,https://youtu.be/ZCAvh35xLSw,https://gist.github.com/90857a43fc9002f51a39b8d7a62ec985,https://youtu.be/GsnjLLSAlrk
9,5/10/2022,https://gist.github.com/a1a50d9fe86aa713cdca02747828d0db,https://youtu.be/7FLb9wzBPDs,https://gist.github.com/851921c5a13dee771b9236417ac4e8fd,https://youtu.be/_jXCTatcB1E,https://gist.github.com/7de8c59632acb1aa93809a788ddf8934,https://youtu.be/TpwHDmrhq-E
