,,East,,Central,,West,
Day,Date,Songlist,Recording,Songlist,Recording,Songlist,Recording
1,6/27/2022,https://gist.github.com/1ec5f49901fc23a4ee0e7852c75af16e,https://youtu.be/hyks9XF28Ik,https://gist.github.com/12872b031f8373b10c7f5edb30cc1eec,https://youtu.be/pvEmc6YX3pE,https://gist.github.com/a3438a5841d9ad6571af04305bc06a6d,https://youtu.be/QLlJB_PPPf4
2,6/28/2022,https://gist.github.com/2134a399c49333184e47d8c3e7c64b06,https://youtu.be/q1mqCSJRJ9I,https://gist.github.com/6a87d1e31d21e34f67c43ffde3814509,https://youtu.be/q9fb9JVSbIs,https://gist.github.com/d0897c5136c6c23ef86ddf485fd455a9,https://youtu.be/3a4kyYrUUcQ
3,6/29/2022,https://gist.github.com/23d61be48252521e170488442f47ef09,https://youtu.be/tMIfj3AebA4,https://gist.github.com/729707120319b9d7a757b375dc238b5b,https://youtu.be/uUpivQhE8JE,https://gist.github.com/56bdd285f3e407560a6c522c94aac066,https://youtu.be/-Oyk6JwDjyo
4,6/30/2022,https://gist.github.com/4a18a58b91413323f333f6217031cbf6,https://youtu.be/Fh0JU5Y0Nrc,https://gist.github.com/e0f77fb95512bade81501f6031a0346a,https://youtu.be/wPj-GKqN0JQ,https://gist.github.com/fbcb77fa37b68276c741d568b062a5c5,https://youtu.be/nernyGad1Ew
5,7/1/2022,https://gist.github.com/66e58ee8d43aab3c097efddd437d77dd,https://youtu.be/iO913piIXWk,https://gist.github.com/7918b188cdff3102d67fcff16e4bec08,https://youtu.be/0lVdzVmsPNw,https://gist.github.com/5924cc41d007d153e4f39dfe4d385efd,https://youtu.be/jWvIpVZi_tw
6,7/2/2022,https://gist.github.com/4939a61ba625b6cf7c94df94ac8d96e8,https://youtu.be/ClYQNFdxf9I,https://gist.github.com/cf405c8aeb9c4d4b7f8c52820e721bfb,https://youtu.be/n5pfarbXAXw,https://gist.github.com/cc75fb85aeb64f68d3643e3d88a30f3d,https://youtu.be/djhU6pXb_mM
7,7/3/2022,https://gist.github.com/6c3880ba2576f3c4098e7b87d774ddbe,https://youtu.be/9gaYvUB4CXU,https://gist.github.com/9b908af3eb947dc6dbf7e4634a6e99fa,https://youtu.be/vMwlKnP773s,https://gist.github.com/0fbe2c10a33ea43da664007af7656f4c,https://youtu.be/qjK2hy6wk6k
8,7/4/2022,https://gist.github.com/a05ea96e6af97379fa839f28cff34677,https://youtu.be/XlFLPxUzD4k,https://gist.github.com/e6ddf4bf65978c55100edd697f370c90,https://youtu.be/-yTPW7Wf-qM,https://gist.github.com/7282b08defe319bc5b431a21b72664a7,https://youtu.be/_-FTC5TpKbQ
9,7/5/2022,https://gist.github.com/ca658ff2fd50e4ba639bb8989d545185,https://youtu.be/TT9LDFFjDJY,https://gist.github.com/1c006a085c142c36846632c277bb12a8,https://youtu.be/JmkKgCWGJh8,https://gist.github.com/2a733ec708249642d33a0514aa6809fb,https://youtu.be/zxPDsXtjPWg
10,7/6/2022,,,https://gist.github.com/f73ab465b21ed1f6d5313becaaefaa47,https://youtu.be/0EAIucAeuk4,https://gist.github.com/0c8050e76f459df9d3073a7b1f343377,https://youtu.be/3dlSeYq4Xsk
11,7/7/2022,https://gist.github.com/019931bc89b12612f24e13a210c546b4,https://youtu.be/oiNYTPinTes,https://gist.github.com/a64c010266529e64a1eb6469a5ae390f,https://youtu.be/znpOzg8OwL4,https://gist.github.com/3ff229d8f1e263cf237bbe64f9277170,https://youtu.be/bwQz9WVNwVw
12,7/8/2022,https://gist.github.com/49d3947709f107ef1dc243a4f357de84,https://youtu.be/YlHAYuY5eZE,https://gist.github.com/58d8fcb18ef7acdb0edef9815d2ca209,https://youtu.be/UyGhkZYWIDs,https://gist.github.com/2d5286be3efce6d930954ae9f6388883,https://youtu.be/e_nkinL1xNM
13,7/9/2022,https://gist.github.com/a930fd17a3a74d420cedb1a8ba81853f,https://youtu.be/q4y5wpN1R0E,https://gist.github.com/724467dd366b0b8dc7cafef1aa324ba3,https://youtu.be/hvtmWE--OxQ,https://gist.github.com/def4a9a85c58ca9ad8e097096c0319b8,https://youtu.be/Oz-I4NmtJQ4
14,7/10/2022,https://gist.github.com/3a1e742a2e4a74941a0d4407c97efcb5,https://youtu.be/qqoaHmFwpY8,https://gist.github.com/257344bef14f0223a85fd3c592d4b821,https://youtu.be/XxugHQLZCa4,https://gist.github.com/7c8adddb24763b3653f24cc854e6c246,https://youtu.be/7uZvWiFwV5A
15,7/11/2022,https://gist.github.com/ef84dd055cf400675df3fa8a26345d89,https://youtu.be/Ntf4Pfqvj6s,https://gist.github.com/db1824ef787bd6017e18341361b2c097,https://youtu.be/abB_i78H08Q,https://gist.github.com/8929b7a274259706c4947befbffa340d,https://youtu.be/qGag9SduLjM
16,7/12/2022,https://gist.github.com/7e4e477f3de27aef377dd4e29efa35f4,https://youtu.be/hlp98OWYg_A,https://gist.github.com/258295684cb738afb61ee7382e97ed0e,https://youtu.be/tU36as07PwE,https://gist.github.com/6451f1af257b8d8c3362ba37e03a8d6d,https://youtu.be/5Ht9hH9dLek
17,7/13/2022,https://gist.github.com/47bf539127a0a1cee7abbaecc757e2e9,https://youtu.be/0QIVAcp52vg,https://gist.github.com/3de6a0943463f0cc7d780698b1da4f1e,https://youtu.be/ZeUuByuBPpA,https://gist.github.com/4f75f5974d0f967c0f6c47b6cb0266af,https://youtu.be/pAyU6jdwHYg
18,7/14/2022,https://gist.github.com/54f79476a584e472245fe01373f8717f,https://youtu.be/qBC1z-y7874,https://gist.github.com/9111df3babaf9f425d32b8250560d91d,https://youtu.be/GLLCywNRNcQ,https://gist.github.com/6baa44f73694ef3f1335181334102c8e,https://youtu.be/jfnJ3Y_48bg
19,7/15/2022,https://gist.github.com/37e79a3c510a64ae39b3b7a9c39f5921,https://youtu.be/UTO2HNApZZI,https://gist.github.com/b557be01dcc16eb383602d9d467552c8,https://youtu.be/IOZKODmhRoY,https://gist.github.com/a34826deeb824b01d894aeaa7258de67,https://youtu.be/rsPhGeYXCi0
20,7/16/2022,https://gist.github.com/3c156a9fc81cbcbe828d33ed3f74247b,https://youtu.be/E5F3qvsNWA0,https://gist.github.com/d194dd5160e4dc2d50ac5048a619fbd7,https://youtu.be/lDo7TxWd5Bo,https://gist.github.com/bef1ea50dbdc1d1de535d49c82003b06,https://youtu.be/67PJTINItho
21,7/17/2022,https://gist.github.com/a49f4cc5cf281cc68aadfa394721d4b1,https://youtu.be/JkgZSOaFPt4,https://gist.github.com/2b3a080e55eba0471bbc5d26c5c57b65,https://youtu.be/P6YFmR0WD-A,https://gist.github.com/6df644dc65ba4b910018864b400a3f34,https://youtu.be/lA1q2jtlec8
22,7/18/2022,https://gist.github.com/265f8821f5e5a11e8e9d10389a44a472,https://youtu.be/QheaeF3Vvpg,https://gist.github.com/78fb5336a2d72a390de0793bbb23d944,https://youtu.be/_FcomKFHqyg,https://gist.github.com/a58a5aae011e98883d3c758d6fb42962,https://youtu.be/qAf8Ta8nhsg
23,7/19/2022,https://gist.github.com/803866c30076c48c5ff32bdb7680a5c6,https://youtu.be/WFV1wrrH6h0,https://gist.github.com/6cfc7d64dd5f08482458d0e6d818ac11,https://youtu.be/2VXRh_CqpaU,https://gist.github.com/0b342e23926922a394fc81484a2ea421,https://youtu.be/tHuJtab5MIg
24,7/20/2022,https://gist.github.com/8c6c342d21b4f4125bf6a0df0583c7ab,https://youtu.be/ehrg2mQNxX8,https://gist.github.com/0edbff050bcfbdc1f547e4bf2ab2a414,https://youtu.be/guE0JM39ip0,https://gist.github.com/ff9b8470a4f28a51b8292152f212ea5c,https://youtu.be/J8aIZjgszN0
25,7/21/2022,https://gist.github.com/9c8b55f25b75aa94742419d207b6d1fe,https://youtu.be/OfFQVxzZ6lU,https://gist.github.com/a08f8657006ee5a532499ce964b3b133,https://youtu.be/c2SWpth5pKU,https://gist.github.com/cba8ba6374c2407dcf4a7d9934defff3,https://youtu.be/NnJLoArDQ5E
26,7/22/2022,https://gist.github.com/f91c6ed02f6552da79f3a966d7cf9d57,https://youtu.be/QIu6ovIA7so,https://gist.github.com/c6721a4a8a29ba325a20bb98502bc802,https://youtu.be/JvFTNsAvZVc,https://gist.github.com/41831f802fed6ec92f8159ec76d4fa60,https://youtu.be/zpZXZgAeY4M
27,7/23/2022,https://gist.github.com/3c639a77970a432eaa846ed6d1b1174e,https://youtu.be/GAgpKmmC6-o,https://gist.github.com/e8f17722b05a70abfaa1df917798dcf6,https://youtu.be/ddt4fFXkcak,https://gist.github.com/9acc1916be29e7a12f40b5c3ca73761b,https://youtu.be/GO1z5ERtIE4
28,7/24/2022,https://gist.github.com/db144d6b3e3c872a42273e3f41e362f5,https://youtu.be/UsGhvH354O0,https://gist.github.com/5dc0a53a740e3bed4dd82bd2abce5abf,https://youtu.be/SjByrE2lAaY,https://gist.github.com/f7519f78f12d1d2039e3bdf3c1accd44,https://youtu.be/BMhzB68k7DE
