,,East,,Central,,West,
Day,Date,Songlist,Recording,Songlist,Recording,Songlist,Recording
1,11/1/2021,https://gist.github.com/de70aa5f4301d8b15caafae9afc59cbe,https://youtu.be/IYz0sIJIX9U,https://gist.github.com/70199c86d21d0a658f5ceafceb5521d8,https://youtu.be/XmAapnHyJV8,https://gist.github.com/88b7f58599da91eff61f14919f4360a1,https://youtu.be/8u_0XMaXRyw
2,11/2/2021,https://gist.github.com/0770090993a6c025abd91fc95838c88b,https://youtu.be/VUzMvShq_wU,https://gist.github.com/0b71299a5076200d06a94e4d477a2a8f,https://youtu.be/lzDPr9caJ40,https://gist.github.com/36cc076c07da1d891f6c023a074cec3f,https://youtu.be/NVUkiDTdrZY
3,11/3/2021,https://gist.github.com/b4480c90b1a97e43cd199cafcad05aab,https://youtu.be/67grVzkQzaQ,https://gist.github.com/764a8dda26017f68b330b5ac761dcb7e,https://youtu.be/ivBPa1roS5U,https://gist.github.com/483070389c74977f3b6a32c169204aff,https://youtu.be/xofMtQmTB6Q
4,11/4/2021,https://gist.github.com/b7ebe1881ebf56281d0281b8781fd05a,https://youtu.be/U1aWEZq0vrc,https://gist.github.com/a143187963ba6b9b2e1a0c716da81ee3,https://youtu.be/xRstW2a5mRo,https://gist.github.com/c53747e817b036fae4a71c86e4c1f811,https://youtu.be/yJO2nibCROg
5,11/5/2021,https://gist.github.com/4797670f65e43c716859e8ae472b10b0,https://youtu.be/WIQTbJGspDc,https://gist.github.com/02ca27b6a76a97d43dafaae4fd913029,https://youtu.be/ZeXewNObgm4,https://gist.github.com/038bbec2fbecbb8bb75270ebcfd51e47,https://youtu.be/8_DzTP5uAgM
6,11/6/2021,https://gist.github.com/7952b7fd65a9812da7ae0c2edc46b39c,https://youtu.be/ZDnKOVAhwKg,https://gist.github.com/34f029f01f75a7a538441961b1864f75,https://youtu.be/z1DQRKyskCo,https://gist.github.com/e048e4f31c411f428472c4333364dbf3,https://youtu.be/r3yixwLR_hA
7,11/7/2021,https://gist.github.com/a264a841e51a7b03395260f511bf96fa,https://youtu.be/XsIWLihRU9E,https://gist.github.com/c1c98f05d0c442ff9dcaf202490c8d78,https://youtu.be/tQAHrqjtdTs,https://gist.github.com/17a040f161de465b49ac9327b26e779e,https://youtu.be/b6zyzbtlX60
8,11/8/2021,https://gist.github.com/fab3ea4bc0d930250c42cf7f27faf213,https://youtu.be/xV1jG5pLtGo,https://gist.github.com/863442b155ede8eec51a4f6e61dae045,https://youtu.be/_Rhu8RHYqnE,https://gist.github.com/c8edb246f11f9e622fe5c9e2c4979803,https://youtu.be/5Ep0BXejsoQ
9,11/9/2021,https://gist.github.com/c4f806d9d1a355b7d783f5ef7e80ae6a,https://youtu.be/_RBr8uq-Ebc,https://gist.github.com/21df6d8dd5a95bc026753ae44bebf97a,https://youtu.be/Gud7UTeIfjQ,https://gist.github.com/780c9bba6289e6e441207337081ca3a4,https://youtu.be/hG3RcMKSgGs
10,11/10/2021,https://gist.github.com/2843773caf359f93d1c29ce67a028a9e,https://youtu.be/FxDEA2aIQV4,https://gist.github.com/3f27347e02cf3a6e1cdfcc8efefdebb9,https://youtu.be/WXt7vuNHMbo,https://gist.github.com/e169c56d9452ce68d6a320e8729d0cc7,https://youtu.be/5bdZKT2glaU
11,11/11/2021,https://gist.github.com/1b4d93d240d57f6f14835edc7e8ad654,https://youtu.be/3rlUSJG2lAU,https://gist.github.com/550b0988ac59da7b1db9f2c3ab5a8b6d,https://youtu.be/nAcZ-HyvvN4,https://gist.github.com/d01b7bef052e56ce91ff947f668d19c5,https://youtu.be/pbxv2KFCknE
12,11/12/2021,https://gist.github.com/7c3c68da4eb2d8320b12c24459b89fae,https://youtu.be/f59vrH6L38E,https://gist.github.com/56dcbc1ae3af1978bfed5aa26dcb8950,https://youtu.be/cHJTDlkAwgo,https://gist.github.com/e079feaa7ecfb924a921672d08e1baf6,
13,11/13/2021,https://gist.github.com/c1d7144259306de4a48791553ea95243,https://youtu.be/x1GiNhEBlRE,https://gist.github.com/0d642beb3c98d75f9e593e19cbe174c7,https://youtu.be/Ei5h6_z1-hE,https://gist.github.com/946a30c7f0eaafc509de69859a57de46,https://youtu.be/7esohxFWIfQ
14,11/14/2021,https://gist.github.com/42936a1edd797511e0a2519aba102809,https://youtu.be/q4TG7P27h70,https://gist.github.com/53c19847d8cc316e577744b41dfd7ff6,https://youtu.be/TulC-wYRCec,https://gist.github.com/51aa5189bdef7d5ad22a83db2c7c9e38,https://youtu.be/W7liBmmSywo
15,11/15/2021,https://gist.github.com/696947d9477f534a0fc59240ee74ca3f,https://youtu.be/Kw5t01dBuaA,https://gist.github.com/6fcb98a5803e4af6e489f7424af3024d,https://youtu.be/8pny7vgTRu4,https://gist.github.com/bed1442c90f16a839257b1bddaac2510,https://youtu.be/UWVx1uxDC7g
16,11/16/2021,,,https://gist.github.com/a9a18f5b2b3a28455935113792c623d0,https://youtu.be/gfafTc4UpYY,https://gist.github.com/937757fdfd03b8c5a4256e70865a4892,https://youtu.be/A0PvNXYeHr0
17,11/17/2021,https://gist.github.com/6f591c8fea0d8a9186d654f375badb3a,https://youtu.be/XM73zrrKPaE,https://gist.github.com/e3c0eeb990bf280c022e5b1d710f21a3,https://youtu.be/iH35sQ-gKKc,https://gist.github.com/dd4d7ac72fde9dbf7519591499b39587,https://youtu.be/X3f_WmmCjks
18,11/18/2021,https://gist.github.com/ec5ee8b68ae29df94fa2973ffc2e2db0,https://youtu.be/rZ_t1d8pCow,https://gist.github.com/388a8d2ff46811226a78a9917f09924b,https://youtu.be/iR_mEJuc_e0,https://gist.github.com/271e6c9fada06526f7f388a6f2ae82c5,https://youtu.be/Q6cxFya7xyE
19,11/19/2021,https://gist.github.com/f8625c8891e650cb91c12a2364ab2728,https://youtu.be/5PddxLolZig,https://gist.github.com/f3063fe2f3fac9674cd8414731de5dfa,https://youtu.be/SKtDyD2ADVI,https://gist.github.com/a5067c21f7297b72ec3af42df03676f2,https://youtu.be/qP9vZl9XndM
20,11/20/2021,https://gist.github.com/a92e3d64e49f871ea2e2da58ab72bb63,https://youtu.be/TPbVuBRO8vM,https://gist.github.com/e48d5ef10d276dd55895915d02f2b78d,https://youtu.be/bG5LfZF98cA,https://gist.github.com/1c710108b745caceafcf4788376ca207,https://youtu.be/K_Z5rYwu3Og
21,11/21/2021,https://gist.github.com/c5910120284384e4b37b7c46418615e6,https://youtu.be/Bkscn8-o-GA,https://gist.github.com/9bc0820b5b343c29325f98c6ae67e0dc,https://youtu.be/pIrP57e6Ozc,https://gist.github.com/ba4b142ea0130563a630e21ecb1a8d4f,https://youtu.be/wzMKIenx9jU
22,11/22/2021,https://gist.github.com/1c72f33b5ebaecd49f3c6b6f1b577e48,https://youtu.be/tz0k3UPoYyY,https://gist.github.com/2b1267355c73b4cd22ddf11565626eac,https://youtu.be/_V7Etb2vxdI,https://gist.github.com/2ff50c472157a29c4d4366364c0c4bf5,https://youtu.be/8w2s_AL58Xc
23,11/23/2021,https://gist.github.com/716487f8078083ef19d8549e6a13911e,https://youtu.be/g5qh68I8aCM,https://gist.github.com/16cc627cb1e33eb3b5e6a27c280a4833,https://youtu.be/NezP_nhI9ac,https://gist.github.com/0afefcbe5d989ee1b04f30e658789014,https://youtu.be/N8unUiG0Y64
24,11/24/2021,https://gist.github.com/b9f5c33e06c31ec2d2dcbeb8c58f0d98,https://youtu.be/XFA0G4N2w0Q,https://gist.github.com/04c44770e447434a8567752bfae02964,https://youtu.be/UqZpD7aXR6c,https://gist.github.com/e0f0f3ea7d123168a9b59bacd0698a8a,https://youtu.be/_zk1h9TgVIk
25,11/25/2021,https://gist.github.com/8c116b444927a204ca5541e98b92b4c2,https://youtu.be/VUx6tWM38rQ,https://gist.github.com/2d8f334ed045c52a632973b478c99f39,https://youtu.be/xTIDpEN2TWE,https://gist.github.com/9041c8c38e621e920752d5a4baff6df6,https://youtu.be/ElRlwLKR5dg
26,11/26/2021,https://gist.github.com/a1278cbaf52597fc98d59877a2ba60c8,https://youtu.be/BGf5bkN2ZLE,https://gist.github.com/618fe025ad4838082c2f7833dbfb4dc3,https://youtu.be/-nGCNA4FseE,https://gist.github.com/699b2b0feb891725d9115fa07cf694f2,https://youtu.be/IIDWsVSbAdg
Championship,11/27/2021,https://gist.github.com/a3fdd862dd5e43a4f5d4586243c269de,https://youtu.be/-U1ndX8M6b8,https://gist.github.com/e47a1c19538e02440761077b4c7cecbe,https://youtu.be/HefavF3XqN4,https://gist.github.com/1156e2e6c8f7c787290151012f0660d8,https://youtu.be/oC448KzN96U
