,,Central,,West,
Day,Date,Songlist,Recording,Songlist,Recording
1,1/27/2020,https://pastebin.com/GyTkMXW8,,https://pastebin.com/DWmsA7en,
2,1/28/2020,https://pastebin.com/FkwU79W2,,https://pastebin.com/QhHKETDR,https://www.youtube.com/watch?v=5u53Rj75x9o
3,1/29/2020,https://pastebin.com/D684thV4,,https://pastebin.com/k0FqS2Gu,
4,1/30/2020,https://pastebin.com/YhNH3UFk,,https://pastebin.com/ZnQLuT6j,https://www.youtube.com/watch?v=-VIgCKAQHyA
5,1/31/2020,https://pastebin.com/aeFAqxpD,,https://pastebin.com/pfXx5Wtc,https://www.youtube.com/watch?v=b2AjGJmm0hY
6,2/1/2020,https://pastebin.com/UH4SNpq8,,https://pastebin.com/YSwTTMti,https://www.youtube.com/watch?v=dIxmS4jNQZs
7,2/2/2020,https://pastebin.com/XYuyLxBy,,https://pastebin.com/aY251Djg,https://youtu.be/0G8w7OMJZ9A
8,2/3/2020,https://pastebin.com/AZB2968m,,https://pastebin.com/W0zNSe6y,https://youtu.be/yoN_gfWNz4Y
9,2/4/2020,https://pastebin.com/9iymd6RR,,https://pastebin.com/X0jKMXtb,https://youtu.be/QFzl8oBMr8g
10,2/5/2020,https://pastebin.com/wskWcfwS,,https://pastebin.com/J01dfKLm,https://youtu.be/EpT2ppoeQpw
11,2/6/2020,https://pastebin.com/VER3Dksy,,https://pastebin.com/BgYxmLGg,https://youtu.be/g5itFooZ3w8
12,2/7/2020,https://pastebin.com/Tgrj053F,,https://pastebin.com/cjePRsDS,
13,2/8/2020,https://pastebin.com/X31YgjUT,https://youtu.be/YIec4AarcVk,https://pastebin.com/EGvswfEC,
14,2/9/2020,https://pastebin.com/vNfBhSuK,https://youtu.be/TE0-vqBM4iY,https://pastebin.com/e1c1CbhJ,
15,2/10/2020,https://pastebin.com/Z3SbQV65,,https://pastebin.com/BC9TaESN,https://youtu.be/yMQ9kiLZ5fU
16,2/11/2020,https://pastebin.com/v08YTq30,,https://pastebin.com/ZMxDmqgP,
17,2/12/2020,https://pastebin.com/74gT8NCt,,https://pastebin.com/CxjcvVBW,
18,2/13/2020,https://pastebin.com/LgEbEBpv,,https://pastebin.com/EyTD9uYq,
19,2/14/2020,https://pastebin.com/rdqfbrfU,,https://pastebin.com/8kDNQMma,
20,2/15/2020,https://pastebin.com/TK7kgtj9,,https://pastebin.com/6zudrCKL,
21,2/16/2020,https://pastebin.com/S5t611y8,,https://pastebin.com/WYb5xM56,
22,2/17/2020,https://pastebin.com/Ey6JvGJH,,https://pastebin.com/BLFNNidz,
23,2/18/2020,https://pastebin.com/exGWnK4n,,https://pastebin.com/b2SVS1v5,
24,2/19/2020,https://pastebin.com/cX1RtpD1,,https://pastebin.com/XkQ6b8vH,
25,2/20/2020,https://pastebin.com/2t2kR2yp,,https://pastebin.com/2t2kR2yp,
26,2/21/2020,https://pastebin.com/2t2kR2yp,,,
27,2/22/2020,https://pastebin.com/2t2kR2yp,,https://pastebin.com/2t2kR2yp,
28,2/23/2020,https://pastebin.com/2t2kR2yp,,https://pastebin.com/74JxvGLF,
29,2/24/2020,https://pastebin.com/UaX6fFSi,,https://pastebin.com/zRPKUksm,
30,2/25/2020,https://pastebin.com/UxG4Pv06,,https://pastebin.com/JnRvHif0,
31,2/26/2020,https://pastebin.com/zmFvAF7f,,https://pastebin.com/n7pPAVJP,
32,2/27/2020,https://pastebin.com/DACRpPdY,,https://pastebin.com/gt3suL99,
33,2/28/2020,https://pastebin.com/HADuftfb,,https://pastebin.com/Ub7EMFHc,
Championship,2/29/2020,https://pastebin.com/KRT5N8Y7,,https://pastebin.com/sWCcc952,
