,,East,,Central,,West,
Day,Date,Songlist,Recording,Songlist,Recording,Songlist,Recording
1,3/29/2021,https://gist.github.com/c8637ca7af2a134b02d042d3ef82de3a,,https://gist.github.com/8101cdc171cec88c4c7d21e803f37e92,,https://gist.github.com/208bd6f5e71525d2e9de62b9c7274c0d,
2,3/30/2021,https://gist.github.com/73d74b70ca798864f67a81ca82076999,,https://gist.github.com/67ad6b7894d5e0f08a88a60e86f64480,,https://gist.github.com/03362344e15a0cd27f0f79520ae1c410,
3,3/31/2021,https://gist.github.com/543b89b98e687b6d43a078b802adb288,,https://gist.github.com/8c644103e78d371dc29b850c699de5c0,,https://gist.github.com/9f65119790918b6f015a920eef8104b5,
4,4/1/2021,https://gist.github.com/f75b1c6fc87fa8b8753254d7fcf84aa8,,https://gist.github.com/4f14f41f041c45e1e8a1d727fe03f2ec,,https://gist.github.com/8cda8db05d5f95c9ecfb1c835361a367,
5,4/2/2021,https://pastebin.com/jbKpakjC,,https://gist.github.com/6cae5efb344e0f73fe013d73eff8f5e5,,https://gist.github.com/d1dab157d570ed3898c433cccea6dd1e,
6,4/3/2021,https://gist.github.com/8efc99bb1799ea9f3301b4941ae89ad4,,https://gist.github.com/794c660c96b354cc68bd98f7608121da,,https://gist.github.com/6199c95198b32066215983aef0566359,
7,4/4/2021,https://gist.github.com/a8d53bd6cfe6e7387ad125933e8d943e,,https://gist.github.com/d2a833c71cd16b5de8d21ecb706defc5,,https://gist.github.com/e3050ad65c045d95b1c9ea06e856780c,
8,4/5/2021,https://gist.github.com/b0e4b1635833ee114d9cd2f0d7fba2d5,,https://gist.github.com/11f330dfa167ccf30b29d753f4783f2d,,https://gist.github.com/766844b01a305cd389fd81f0adf3d61b,
9,4/6/2021,https://gist.github.com/d3b9ce2750a9d0b209ff6180ce44f59e,,https://gist.github.com/ad54bce5554451d043e7c38cf4d9d5ab,,https://gist.github.com/467b79e8c8ab50010c5c670f4bfefad0,
10,4/7/2021,https://gist.github.com/5d7fef0ababac3360ca51153cdcad1df,,https://gist.github.com/6517ebdb111108bd9d13c3c88cb000b7,,https://gist.github.com/2c73c6baf73661c3490f45704790d876,
11,4/8/2021,https://gist.github.com/99e8a241df99df2eceb546d7101f284b,,https://gist.github.com/8287329be9d14ce9dea9a8b2023a2925,,https://gist.github.com/3711008de8b8da8a485c807bee1ff76f,
12,4/9/2021,https://gist.github.com/1db732847a82cdb49f0397f15d362031,,https://gist.github.com/eb79e878ae3f57dcfb248660f2d537e8,,https://gist.github.com/509d1c231cab0b89fcefc773ae71de1d,
13,4/10/2021,https://gist.github.com/86d1a41e90bc958e118a55c0bbfd1697,,https://gist.github.com/0ffc87742831e097fc283aa255045d73,,https://gist.github.com/562be971d7fc5d88dd1d54994f92f9cb,
14,4/11/2021,https://gist.github.com/4d8a08a4f1aebcd35fe521dc28085259,,https://gist.github.com/e8ee9db43def36032a0d9cf945fb2adc,,https://gist.github.com/3e7490f734bf82b5d68e10b32b380982,
15,4/12/2021,https://gist.github.com/325c696c7b204686c08aa8508ccf36bd,,https://gist.github.com/1ba1780b606e33c1904894cc306a40bb,,https://gist.github.com/909567eca2aff6028fb5cfd3ab86947f,
16,4/13/2021,https://gist.github.com/5b21da3e77b886373076091bb0531397,,https://gist.github.com/806b09ce9b4323d6b986c3a49b71c7e7,,https://gist.github.com/61688d0212d6fb9ffff7be3e34b2855d,
17,4/14/2021,https://gist.github.com/15b57746022336308cf391175f8e1939,,https://gist.github.com/984c4a1b0ab27350ea890d9ffa663134,,https://gist.github.com/6ebf280a55984f72799de05fbf24225f,
18,4/15/2021,https://gist.github.com/eb018345e4d395044deefcdf42a115a7,,https://gist.github.com/77339053180db81951076784b68b608a,,https://gist.github.com/e13246f0c3f193a43e5ff832ecd35e66,
19,4/16/2021,https://gist.github.com/3d27969b14f228dbfe5f06cdbc9d9f44,,https://gist.github.com/71a72f0798b62440cfb2c600580df7f2,,https://gist.github.com/d0c62f6655207b6f4b3947e653056b85,
20,4/17/2021,https://gist.github.com/ac21a410d0c4aeb7a5085510ad8bb675,,https://gist.github.com/65cf6c81e7550d7253b269a509adc626,,https://gist.github.com/8a8e792be968ccefeefaa0b8791e60c3,
21,4/18/2021,https://gist.github.com/ab7167d70f2f528f62de2a7fa111592f,,https://gist.github.com/d2954a3ac4e44bfd8c4bfb606718c1b6,,,
22,4/19/2021,https://gist.github.com/7def29955e6ab431d25e1ae7d27ef65e,,https://gist.github.com/c3ed63f765424b77d03d559b12585072,,https://gist.github.com/99358b5c097e4c7a0667de5d4ced13a3,
23,4/20/2021,https://gist.github.com/3cf189647174630065fe1f8a5c3c2079,,https://gist.github.com/ba03a93b9f5c2c8135fd8e350c4de734,,https://gist.github.com/233a9ba70d9c5337bf3a46c145d35447,
24,4/21/2021,,,https://gist.github.com/29b2d5ba966521dd8a737bb3fde9b374,,https://gist.github.com/23cdb29818a8d49d3841bb7853378c47,
25,4/22/2021,https://gist.github.com/6a72da441e27cdea185f1a89913a3f83,,https://gist.github.com/b970f82be59ad98a943318dc91f9adc6,,https://gist.github.com/11ee96f95d87c18527f12a4020b50c21,
26,4/23/2021,https://gist.github.com/7357135b788ebb5ab4e8454cf24dd0d7,,https://gist.github.com/4a1f4887a2d3120892fe94ad89187179,,https://gist.github.com/a1ee0765a8dd40dc7a66963cad177f03,
Championship,4/24/2021,https://gist.github.com/f80cc72f760e0165330e2332dd644312,,https://gist.github.com/84a4b20d9155d0c23b4d68d11dd7d923,,https://gist.github.com/4206afe2bba45c5c5957bb07f0c47f44,
