,,East,,Central,,West,
Day,Date,Songlist,Recording,Songlist,Recording,Songlist,Recording
1,5/30/2022,https://gist.github.com/7996e683c419bad6bbdc30ddd24045fc,https://youtu.be/ktFr54KOxM4,https://gist.github.com/62e3b4bd75d28177bb267aea4360d2e7,https://youtu.be/FG43FFqETbc,https://gist.github.com/f1287e0670796c5a4c3d9c5259b580e6,https://youtu.be/ABK6KpiWi-g
2,5/31/2022,https://gist.github.com/8aa7bb221a42c5e0cc0f0d869463281f,https://youtu.be/vhKNC3WrtTY,https://gist.github.com/3a22aaafc480962be295b1ea572cb63a,https://youtu.be/pcui7o9eJMw,https://gist.github.com/2ff806f0ae644b21ee1555f87ca1aef5,https://youtu.be/-YqJaLeGq78
3,6/1/2022,https://gist.github.com/beda94727a73cbe29e0b338a5ac1ed39,https://youtu.be/ETkI8ymYR0g,https://gist.github.com/a860b7f1885e2e5dad531dab4fa78bd8,https://youtu.be/ELk4WatiPlQ,https://gist.github.com/9a0f7f54b6170e5b6741a99507722719,https://youtu.be/QlqRpIEjmj0
4,6/2/2022,https://gist.github.com/e01963183823befbf273a9ba0fc4875f,https://youtu.be/mBosVM-ozg0,https://gist.github.com/c0fe0d043e80846f8c36c79077f89f26,https://youtu.be/f8ADInA1Cmw,https://gist.github.com/abdf8788042966aaa92494bb5c07ce36,https://youtu.be/9QRFmUBqs_w
5,6/3/2022,https://gist.github.com/7169f32f238317daf70d192ff16a540f,https://youtu.be/zMcyUodf938,https://gist.github.com/c0d13941caece1c6032e229ae7f08684,https://youtu.be/h2zcj6V8PJI,https://gist.github.com/eb44378f5a95a4c1404a29c6b0dae93b,https://youtu.be/q8IQfmX8Gxw
6,6/4/2022,https://gist.github.com/56919663e5423314e556e64e6f010742,https://youtu.be/2991AKyTxMo,https://gist.github.com/71cdea94cb036a5ea4ed3bbdab520dc5,https://youtu.be/CNxEAU11ohQ,https://gist.github.com/283a7186a2337309711b7f87b3449173,https://youtu.be/vFpccoVxQbA
7,6/5/2022,https://gist.github.com/c1b62222f1a0d939bcebe7d185ec76f9,https://youtu.be/p0zp9CD3D6g,https://gist.github.com/f41c11a0aa77b60cf2a3902cfd62db27,https://youtu.be/eD7S_lCsmnA,https://gist.github.com/86b54405ce253cbaa7b18105c473b923,https://youtu.be/b5r6MmUf2k0
8,6/6/2022,https://gist.github.com/cc412da3add696b79ae3234d5e46e63d,https://youtu.be/JxbWzAGd1co,https://gist.github.com/c72a38d3d067e3b36d60e68576fe9f35,https://youtu.be/8rnrqvC7H1Q,https://gist.github.com/3b8e884b425207c2f47e93b0e29e9a82,https://youtu.be/-iA_jbmH8hA
9,6/7/2022,https://gist.github.com/aa2cc8e135f84d1a4483893ff75d07a5,https://youtu.be/iuneATKeKdo,https://gist.github.com/0d41bd6e3c7c2fd53728953c368acb2e,https://youtu.be/03zdQ5TFy6k,https://gist.github.com/9510896b794c483da32f052ec3a2d5b2,https://youtu.be/f7mqrvFl50U
10,6/8/2022,https://gist.github.com/7ab18e1ff970f3f847b077c192351c3b,https://youtu.be/MSNF7N8qxUQ,https://gist.github.com/0bffa4b6374ead4414a45b1ee662b4d1,https://youtu.be/qKyvTKjwxwQ,https://gist.github.com/818eeef0f872f3dcac745475c56d2fae,https://youtu.be/g8fkvkCpulo
11,6/9/2022,https://gist.github.com/d791cb4d39bfd02d29250c9743897cf0,https://youtu.be/kgsLcoCQn_s,https://gist.github.com/ae24bb2e7522fcfbc64b2bec18b3f695,https://youtu.be/sdG5obSDf9w,https://gist.github.com/abc53e1211e05001b75a2d2ccea7ac77,https://youtu.be/jyQ0mldkigk
12,6/10/2022,https://gist.github.com/720c0ffae64c0d7592284c8aa68ca7b4,https://youtu.be/Vpss0SSwfhg,https://gist.github.com/8645a993079e653fc0be2c37c065bcab,https://youtu.be/a8PpxlA6hLM,https://gist.github.com/3d8faa0ecd4fde40c9e094bd6dab6ab1,https://youtu.be/AJq5WGb06qY
13,6/11/2022,https://gist.github.com/1cda6b7c91d52b51efb9dcd396baadce,https://youtu.be/KR9QwpW9zXA,https://gist.github.com/ad1781f21ba95c2720c139bf5581f259,https://youtu.be/HZLTp7yu3co,https://gist.github.com/99edc47b546e87de25a5cda6a15f8750,https://youtu.be/1i2rNQ730n0
14,6/12/2022,https://gist.github.com/d7d6de83a45fb25f84c0eb04edf4ea46,https://youtu.be/12WYInM3FBc,https://gist.github.com/1fe55f1219140940ae2f463d5fead1d7,https://youtu.be/WOrw1fhPT8g,https://gist.github.com/eb52cf612102a92d8bd25bfe0fe69f31,https://youtu.be/qLSdmQlttkk
15,6/13/2022,https://gist.github.com/5d22148f804504fdca43898b9860d9c8,https://youtu.be/_Cwvsnj8qTQ,https://gist.github.com/fd690f00445b0ce58c39cbe421189fea,https://youtu.be/4ekb7Sb7fBg,https://gist.github.com/c9924a5bc113e6816027a1a45ef88fcf,https://youtu.be/p1OF_39HtX8
16,6/14/2022,https://gist.github.com/98d3184707f9bf8212cdc03fbf8b546e,https://youtu.be/eJVvb6d3OOk,https://gist.github.com/8391ea6222a5ebeec21f4d56beb56d9c,https://youtu.be/nOCssrbNPvI,https://gist.github.com/3c105172bdf4199e7c30f13f94b94aea,https://youtu.be/mgHuOYt9OwM
17,6/15/2022,https://gist.github.com/69c9f38ac163d59ffbf5aedd19bbed0e,https://youtu.be/sUDXS_sX_b4,https://gist.github.com/261c07c8b7aa43cdb682d3f86852b86d,https://youtu.be/sSU56dAAYFg,https://gist.github.com/d0a36f4c0099c335dd84c02335938240,https://youtu.be/k2ym0-SkcP8
18,6/16/2022,https://gist.github.com/e0d5014dff1c79e41729bf76687baab9,https://youtu.be/PnHLPyBvLqQ,https://gist.github.com/d0cdb309b612f5469912fca50625722c,https://youtu.be/4GLcjJy6XnM,https://gist.github.com/a6688c269a244a2ea5bad2db8bfbb721,https://youtu.be/i-32Cuyk0Cc
19,6/17/2022,https://gist.github.com/d8793f030f833e391c3c53bab5e87d41,https://youtu.be/vGDZxdKS5SU,https://gist.github.com/5b0963564caafde01e03a78f85cd091e,https://youtu.be/BJlNf5AHMYc,https://gist.github.com/d917ec070ebc7efd25518c9395445bf8,https://youtu.be/1Gedjd119kg
20,6/18/2022,https://gist.github.com/dbfd8f24960fd7c068f5e89ece936da9,https://youtu.be/TqvxNV-TT5k,https://gist.github.com/faa141a2ca8ce79922b62be41a387a92,https://youtu.be/G7zuVItUkOE,https://gist.github.com/288e541bdead3040ee0296fb82a33ff9,https://youtu.be/NKN5gbFrd5k
21,6/19/2022,https://gist.github.com/dad6991807ee6cd6f10fc1d334747167,https://youtu.be/hAPMvE_mg-Q,https://gist.github.com/f52d34e90ea9b02da424eec65f16d5df,https://youtu.be/OaLhop7f8Vw,https://gist.github.com/ba89f0a4027515976d5663026682e6ad,https://youtu.be/eWbmjFq4E4w
