,,East,,Central,,West,
Day,Date,Songlist,Recording,Songlist,Recording,Songlist,Recording
1,12/27/2021,https://gist.github.com/9443ae89c6fa69aef214e65ed1be1c8d,https://youtu.be/-RNHfEw-dvw,https://gist.github.com/1cf981d88600b4b860fbae66f109b3a0,https://youtu.be/mglLWnhFv6o,https://gist.github.com/17c13287cfe91fe58fd252a58bebd0a3,https://youtu.be/8pzWYpsYElA
2,12/28/2021,https://gist.github.com/273bd052b253d0f22a13e026f5ea39b0,https://youtu.be/qxjoUpiweg4,https://gist.github.com/633debdcec3e61933b8bdfdc545f1d4a,https://youtu.be/eP1ybJ7a2KY,,
3,12/29/2021,https://gist.github.com/e8b38f547d926dd9ae4f7307ed799480,https://youtu.be/QGV0CFSLPBk,https://gist.github.com/9528af63092899a81c26dfd1ddb45289,https://youtu.be/yGwlugc3Wxo,https://gist.github.com/8fbb2072e4c4ab4e78dc72603219f499,https://youtu.be/fUVUvavPXCE
4,12/30/2021,https://gist.github.com/ef13ac5d7b2ce02a63e3e210850a9af7,https://youtu.be/6nQXDsEA9zM,,,,
5,12/31/2021,,,,,,
6,1/1/2022,,,,,https://gist.github.com/33f1c960a63d2993384813c71b078abd,https://youtu.be/qcZVmAGacsU
7,1/2/2022,https://gist.github.com/1e77dc8cad77ecd007f013792912d1f1,https://youtu.be/e67aJgdT8rA,https://gist.github.com/5652489c8f0b585274f45c126beb2a81,https://youtu.be/6S9o8_ZNhf0,https://gist.github.com/cd0d4ddc044ed947b1487badf2cdef42,https://youtu.be/k9RiWHxpqRY
8,1/3/2022,https://gist.github.com/24b54d2ea9a5573f3516fad7272edc07,https://youtu.be/VVtg-akwZX0,https://gist.github.com/9f6c7c0fc85c458146330242b848971a,https://youtu.be/nHib3oDaqxA,https://gist.github.com/18719d3834aed4fd7abf770e934a0afb,https://youtu.be/CpyRdgOzLfk
9,1/4/2022,https://gist.github.com/8e6580e6d6c6cca8661b1521e3ab054d,https://youtu.be/sXOXC1ffom8,https://gist.github.com/b9609cafae6075338d16fbccdd0b35da,https://youtu.be/TSJIDeTwTpo,https://gist.github.com/825245f1cecc06419730d3b9694af4b6,https://youtu.be/7Y-ZIc-8VYA
10,1/5/2022,https://gist.github.com/816b9bbb23102d4632a63d65d3a09180,https://youtu.be/0eZU1jhIvrY,https://gist.github.com/7efb6969f1052513148ecdddd88036ef,https://youtu.be/mEBPueRPjqs,https://gist.github.com/3819219712283c758c2767b5c514eb35,https://youtu.be/65WMzbbUZME
11,1/6/2022,https://gist.github.com/95c3d9a6a645e7eb7935b3e13daa05c4,https://youtu.be/DC5XwcD7WZ8,https://gist.github.com/3265bdb53834c2349cdc9dcf1c8f0dee,https://youtu.be/liNq2PahNv0,https://gist.github.com/2cf8cca1dd44812900ba4348cb0ef7d4,https://youtu.be/fpWETDMw0s0
12,1/7/2022,https://gist.github.com/3aec6fe31df6f3900def19afc7b97043,https://youtu.be/ksrNysB0Mfc,https://gist.github.com/a04e23cf868c5bf8ff19461ec0c0ba29,https://youtu.be/WwiSQGAZ8xI,https://gist.github.com/b9ff9553ccf7a2a8bcce48cc08352239,https://youtu.be/zOKfX0Hm4zE
13,1/8/2022,https://gist.github.com/5527b7760ce862b4be0751cd21406a03,https://youtu.be/fx_w-hfWL04,https://gist.github.com/45afeb7ff9708411fdfc2a775d274618,https://youtu.be/HYQTcnZAnxo,https://gist.github.com/18f196d4c5f1c83fb82ac0a61bd397ac,https://youtu.be/awsDO_le3GI
14,1/9/2022,https://gist.github.com/939f62bc88e2385d88ad5a9f9457a3d3,https://youtu.be/vDWYBZ_iaYk,https://gist.github.com/83d9be2a50043cb57ad437728306f657,https://youtu.be/-3A3lS6naIs,https://gist.github.com/5afef6af71db48a69c88a4e8e2a7ef5d,https://youtu.be/0foWmjYnER0
15,1/10/2022,https://gist.github.com/ff55163d9270b8428fee6f39fcb2d9f5,https://youtu.be/4rC1tMCrN_w,https://gist.github.com/fe640e238aa9de8e629d0d889747f9b6,https://youtu.be/d9AwrgTXIGs,https://gist.github.com/7e926d9070fb999dacde66ab2fb8f8ae,https://youtu.be/pmiEBdna6-I
16,1/11/2022,https://gist.github.com/259ab418685054f53b47e5859ca5ecb3,https://youtu.be/Z4iDvAsaFC4,https://gist.github.com/410289f7ee0ce7a199280b4ae93cd5b7,https://youtu.be/TGjDaKhZH_w,https://gist.github.com/79c06e5f0452c3f63885408633c5f4d1,https://youtu.be/xcyF4PAM92E
17,1/12/2022,https://gist.github.com/b41ddbbe74aaf250a771a151a536a047,https://youtu.be/Vvlh0VnQ2GU,https://gist.github.com/60891ddd1f5c34139395a767cf7e87b2,https://youtu.be/1LoV1Wu9g9k,https://gist.github.com/28ce362829024a65e4fafcf8803ef5bb,https://youtu.be/yIYQR7nFl7k
18,1/13/2022,https://gist.github.com/cc764e85becab3cc95b28ba48f425c6b,https://youtu.be/cJEk0vM_NG8,https://gist.github.com/7c9229da6bcf819c2754da6008a0c9f1,https://youtu.be/UDq8QdCcGsQ,https://gist.github.com/93ffc1d5f42f4e033aa9b1a188d5c704,https://youtu.be/TWstm2b29Q4
19,1/14/2022,https://gist.github.com/58bd5062cddc78b0c710a7d3de5fa223,https://youtu.be/bdyymwC4cQ8,https://gist.github.com/3eac69adba625d2822510b0f4de021ed,https://youtu.be/cS5ypk7LTp4,https://gist.github.com/5edab5a9f35c788dcd0ec20d6fbdb617,https://youtu.be/nky65b5orsQ
20,1/15/2022,https://gist.github.com/65d3a06d6ef0b2cbf7201a5f18354d93,https://youtu.be/7p0Ad16Zge8,https://gist.github.com/e34a3852d5ed8c4c285c3eca18b0847e,https://youtu.be/o6QwwHK40gQ,https://gist.github.com/ae2998c20f789a786eeb2139e28f5f38,https://youtu.be/scsSdAeyZ_I
21,1/16/2022,https://gist.github.com/d1557c018795800390fcf1f11e3b156d,https://youtu.be/9jUaI_LW4jQ,https://gist.github.com/d89acdf8acb5960c7117aca2eccb8d41,https://youtu.be/9kI2je5IFXQ,https://gist.github.com/8314b54e8caf6bd5537d93634e112959,https://youtu.be/3qLZvtNZdow
22,1/17/2022,https://gist.github.com/62cfbd795a684d325b444d34a5d0df15,https://youtu.be/Bkc3krq7gM4,https://gist.github.com/3c5cd6031104fe976d547f461767af56,https://youtu.be/imU6KjoxStE,https://gist.github.com/9d8f91975a17d05844ddc6634d48cdc3,https://youtu.be/vjehQyWfXDg
23,1/18/2022,https://gist.github.com/7e4d2b3f2ba8bbce76d6f6291571ee3b,https://youtu.be/0_FXoyZYaYc,https://gist.github.com/63f484c24a3b9ead15ad2b1abb469c22,https://youtu.be/ZdTPI16gXLE,https://gist.github.com/78bfa99d6663e7ef47328bc7bd6452cd,https://youtu.be/ONj2TqwTnlg
24,1/19/2022,https://gist.github.com/86be4003df34c7d6716a9ca74cc15919,https://youtu.be/BQQUF-6zwRM,https://gist.github.com/64494652d0ced482f19d84f86439aeac,https://youtu.be/ofGjbvhlf2s,https://gist.github.com/f33bf30d6e94920836f9a4b73f415e05,https://youtu.be/fnclBugncIE
25,1/20/2022,https://gist.github.com/fa8801dc87defa86c6a6ead465462f8f,https://youtu.be/ZIlZrLzQCug,https://gist.github.com/1f752ad0a11d7915a41a998f8d1d74b5,https://youtu.be/Xwbc6Ujp05k,https://gist.github.com/ecba66ef01a0c6bd7193771cd4b91723,https://youtu.be/firKbeU02Fc
26,1/21/2022,https://gist.github.com/414cfd75fffabd04a91c3a06dde45a48,https://youtu.be/GF4y5Ezsfak,https://gist.github.com/cfa86e8469c558fdd0ad901f016f6890,https://youtu.be/iSm8CEIWoKo,https://gist.github.com/36693795629b575bfdae5be329e4bf59,https://youtu.be/-OojY3qSoOk
27,1/22/2022,https://gist.github.com/49cd089a406213fc222721d0400bda2c,https://youtu.be/V1S3_XiQ3JM,https://gist.github.com/a89f6b0fe3634a03d82942536950a7bb,https://youtu.be/38DQ7Ja6wCs,https://gist.github.com/c9f873ac2b5cccfbbbaeed4999127ec0,https://youtu.be/A0o54_sMiX0
28,1/23/2022,https://gist.github.com/e8d427868c9080679a1f1593842f53c5,https://youtu.be/_k9bjpJTOSk,https://gist.github.com/832bd723355312ca5408e527d3485293,https://youtu.be/MZnDR-Ce-i8,https://gist.github.com/6bf3c3adb17f3d8bab718c26ad4f464a,https://youtu.be/s_lYhrSI63M
29,1/24/2022,https://gist.github.com/4de10b4de1e4f75380049c4d7c81e53d,https://youtu.be/4Nba44WpPfM,https://gist.github.com/32c990fa8d546c5e55bf7918220ac9b5,https://youtu.be/bUcF6pe94H0,https://gist.github.com/71197c3f0fc706189dceb96bc32e0346,https://youtu.be/ZxQqBApqEO4
30,1/25/2022,https://gist.github.com/ec0cb6e72d38810b912eacd6bb83af99,https://youtu.be/PE_zy2JqIjQ,https://gist.github.com/293313a2ef08e9f053919ff9793062c9,https://youtu.be/LlygdtfUIjI,https://gist.github.com/dd9e9b1ae97ed6d086481f9c2d298de9,https://youtu.be/v9IEw1_cjk8
31,1/26/2022,https://gist.github.com/841577fcc32b14105ecf4bdfb71cf69c,https://youtu.be/KBUlG5W5NRY,https://gist.github.com/503f5d03b586c7cdb0ae6e5d0ba66dd6,https://youtu.be/K4OlCoujKg8,https://gist.github.com/47091d0e9aebbbbc7c320d2a01e7d4d0,https://youtu.be/yWA9ii4eLZw
32,1/27/2022,https://gist.github.com/6bbef2cd178e1196c3a1b8a55ddb686f,https://youtu.be/kevhW4gZnXI,https://gist.github.com/c0c4efd20320643200724838879f2eaf,https://youtu.be/_3tVbepJa_w,https://gist.github.com/27c0a5c1636286287c411b7ea76fc845,https://youtu.be/65BKwMjABHo
33,1/28/2022,https://gist.github.com/c6647ae48b71d948930a966a506c15f0,https://youtu.be/awjCAXfCi2E,https://gist.github.com/7d389efa82e8261be892e5bd8a7e512e,https://youtu.be/rJ2GsjM4JdM,https://gist.github.com/b48abcb1004b736a330d7479de6bda0d,https://youtu.be/EHsIlZqlTL4
Championship,1/29/2022,https://gist.github.com/45824e43ad3f085ef8a331ce2783c336,https://youtu.be/svd2eHhaBmE,,https://youtu.be/j0r1ybsqlA4,https://gist.github.com/407afb74df99c96c45c0cfa9aac92f60,https://youtu.be/f1n4Iq1PjLQ
