,,East,,Central,,West,
Day,Date,Songlist,Recording,Songlist,Recording,Songlist,Recording
1,11/29/2021,https://gist.github.com/f39d0127cce28868093e058be69e37eb,https://youtu.be/PocuubGiP3M,https://gist.github.com/3485f24a69a5c2c203695209c58f44bf,https://youtu.be/Aic2fcf-4fg,https://gist.github.com/3127b5d2b287f5a53bde375128ba137d,https://youtu.be/lAyVgN5m2Yc
2,11/30/2021,https://gist.github.com/c70c05c3e20ed57e8369e32b0c70249f,https://youtu.be/P0qjaHqSXQQ,https://gist.github.com/46364d89739b9c21041be816753e70e5,https://youtu.be/-CEPRYsdnV4,https://gist.github.com/20b6899e6978073b29b416b1479e414c,https://youtu.be/dXDONPzOyjs
3,12/1/2021,https://gist.github.com/4adee8fdde4f263faeb7bf80aaeb8a16,https://youtu.be/AL6YFG2OuWE,https://gist.github.com/1e00650a53ef0603609552a8353d3e30,https://youtu.be/QZ7qA5HdHEQ,https://gist.github.com/9e617ec9840280c0d76e7d27d5e13b32,https://youtu.be/nLBpmUyYW_c
4,12/2/2021,https://gist.github.com/2127c439343b4cfd7e164a7dc5f13ccc,https://youtu.be/O0EX6GPjDT8,https://gist.github.com/df044036c4f04948f26f08f1f1e2fa7f,https://youtu.be/4rubq-AhuAA,https://gist.github.com/1bae7b03aa28d3da24160efcf04384f0,https://youtu.be/5BoIvuwM6Tw
5,12/3/2021,https://gist.github.com/99aaaf8ebc521729e02adb16a08a29c7,https://youtu.be/6dkRXuHPdW4,https://gist.github.com/0a553fe62b139c1652da339f26f68fa5,https://youtu.be/VbOlRuvR4JU,https://gist.github.com/a69af61266acd82918f7de438a9250e2,https://youtu.be/J6w-SBpMJRk
6,12/4/2021,https://gist.github.com/2de96723f78824037c33c7479740ed89,https://youtu.be/QOkTTO185iU,https://gist.github.com/aa1e2a52070b3fd7bd4b7b3bdeb1819f,https://youtu.be/lQheKaujoBU,https://gist.github.com/844c8b78aec5535d8b8b3dc2639a9e6b,https://youtu.be/MlD6Sk9q2Ks
7,12/5/2021,https://gist.github.com/a15495da2bbfd9b2433dc8ac096581bf,https://youtu.be/avadkscgbU4,https://gist.github.com/1a0ce56429af6ac491feb87b6e39ec0e,https://youtu.be/SsDO7WUtEX0,https://gist.github.com/d91e6a51416f080264e1c09ba3bc4978,https://youtu.be/4m7E8VUW-Ys
8,12/6/2021,https://gist.github.com/7c7fb59b6ab1e10f4c590c482516add3,https://youtu.be/P-rEwP7YLcE,https://gist.github.com/940e68cce6d15f1754f2a3600b1d64d6,https://youtu.be/erOAf8B4Z6o,https://gist.github.com/c457181ed7ef2b917eed129dda3a6c47,https://youtu.be/KZJngIIH75c
9,12/7/2021,https://gist.github.com/8b2adfb28b3c6587f89cfe73bbc4bcf3,https://youtu.be/ZKyUEwdDk0Q,https://gist.github.com/0146470c334503b0f60017cf681b7bfb,https://youtu.be/5oYPlTBuU70,https://gist.github.com/b43e77e206ab39076787f4d70120e9da,https://youtu.be/F134oCGfalU
