,,East,,Central,,West,
Day,Date,Songlist,Recording,Songlist,Recording,Songlist,Recording
1,1/31/2022,https://gist.github.com/blissfulyoshi/3f06d8bf3613095366157936924198c9,https://youtu.be/PBhcH9TYf5A,https://gist.github.com/blissfulyoshi/70f0ad9a800af13b133650701ebb9616,https://youtu.be/h8qWUs09MXs,https://gist.github.com/blissfulyoshi/2317a67f08299aeb918ddbd4354d7209,https://youtu.be/wRDZY_u7BFs
2,2/1/2022,https://gist.github.com/blissfulyoshi/27a58e0124f6328c5106ccb5568010ad,https://youtu.be/-QE70dQeGEM,https://gist.github.com/7571e4f4eca1f4bf4d60adc61257ea68,https://youtu.be/268Mdzr1fTw,https://gist.github.com/a54fa18f01ae9813e6120bdf7b4e29bf,https://youtu.be/VdlsPOV3plA
3,2/2/2022,https://gist.github.com/747a8f7075906bf7cd7c5bb2d6cb3608,https://youtu.be/b30E6Yr0V0Q,https://gist.github.com/ec6e2304c603abb87e3fb20166e1db67,https://youtu.be/TzIYQqWzsl0,https://gist.github.com/47416f39e2cf5a888a3a4c64b93fcde1,https://youtu.be/5pUHhSaTH7Q
4,2/3/2022,https://gist.github.com/183ad64d6de7e37d0f52e1207ca557fe,https://youtu.be/bqn-K6zHAEU,https://gist.github.com/e4a0633af0c86772852661a5dbfcd637,https://youtu.be/TwJr797nELA,https://gist.github.com/ccd1200f8e1645302216910c63ff9450,https://youtu.be/x0G5Buiwlsg
5,2/4/2022,https://gist.github.com/fdaf6faa3eaf2b1891c4f90141c338c3,https://youtu.be/Va7WrEokzy8,https://gist.github.com/2c9252f755d4e0b90a7866e6038878b9,https://youtu.be/h1RMbDxnz_g,https://gist.github.com/b7611899bb63dd055451aa2879ce32a1,https://youtu.be/CsU-PnurJsc
6,2/5/2022,https://gist.github.com/d759cdf4451fe08d9928ce93c52f46f5,https://youtu.be/H5GrfQVXruM,https://gist.github.com/47e8245af782995b64a119b03501f369,https://youtu.be/BQN0ycsnFd0,https://gist.github.com/0207367d8b1568f944a64ecc4fabed66,https://youtu.be/Sf022w_lYFY
7,2/6/2022,https://gist.github.com/8688146453c785ce468e4f103f92e791,https://youtu.be/NTOVbMxTDQA,https://gist.github.com/4fb6829f848e1f2430754835580b6379,https://youtu.be/txcmoH3oRm8,https://gist.github.com/ec2c627e6dc5f00748a506a6179f7e24,https://youtu.be/XLQhI2owpHc
8,2/7/2022,https://gist.github.com/cadf00dbe30608f6df4723d52425a3c3,https://youtu.be/hCq4i9L2D9c,https://gist.github.com/7f7054b7e783b72d5b2aa09ab61aaa89,https://youtu.be/PFLZAdyZfj4,https://gist.github.com/282ce29a31e438e72bb7238217af683c,https://youtu.be/dt3s0b4FRsU
9,2/8/2022,https://gist.github.com/d8a253295100b03c0dab7190d8c833fb,https://youtu.be/NM36as6h9pQ,https://gist.github.com/de7bfb4fe2103c358ff5c62cd9f42ac1,https://youtu.be/rCNAJm3rZ2Y,https://gist.github.com/0a6ccf81cd92ffed271b3276119e2761,https://youtu.be/C-wWbzH0mlY
