,,Central,,West,
Day,Date,Songlist,Recording,Songlist,Recording
1,8/31/2020,https://pastebin.com/YmC87KDE,,https://pastebin.com/zV9A6Mz9,
2,9/1/2020,https://pastebin.com/mtn6Jcde,,https://pastebin.com/ck5up9Jz,
3,9/2/2020,https://pastebin.com/g1pqHQQU,,https://pastebin.com/r0jBDRuS,
4,9/3/2020,https://pastebin.com/GC6x2k6m,,https://pastebin.com/ZXvMJEhp,
5,9/4/2020,https://pastebin.com/QHddwUXE,,https://pastebin.com/VyNiVbEL,
6,9/5/2020,https://pastebin.com/uk2SYtMH,,https://pastebin.com/uJksLa5M,
7,9/6/2020,https://pastebin.com/QyLmvph8,,https://pastebin.com/4VyfHLKT,
8,9/7/2020,https://pastebin.com/y1RJff7Y,,https://pastebin.com/xM6yY2Bd,
9,9/8/2020,https://pastebin.com/TCkmTsXp,,https://pastebin.com/D8T6LRF2,
10,9/9/2020,https://pastebin.com/mWrpZvTj,,https://pastebin.com/KH2tJbJ3,
11,9/10/2020,https://pastebin.com/0ajrhAzR,,https://pastebin.com/60yH6uzM,
12,9/11/2020,https://pastebin.com/JR5WQQ2m,,https://pastebin.com/DwCrNa2i,
13,9/12/2020,https://pastebin.com/eMwpv3G3,,https://pastebin.com/4YyZCWan,
14,9/13/2020,https://pastebin.com/5v4gS8r7,,https://pastebin.com/93gZFnL6,
15,9/14/2020,https://pastebin.com/24ZRUn6z,,https://pastebin.com/DzK20WR3,
16,9/15/2020,https://pastebin.com/3kPwCMbZ,,https://pastebin.com/SczkC2hm,
17,9/16/2020,https://pastebin.com/gXCTDdyw,,https://pastebin.com/JAJu9LBx,
18,9/17/2020,https://pastebin.com/YF42kgNU,,https://pastebin.com/660P02vG,
19,9/18/2020,https://pastebin.com/ZxJEJqL3,,https://pastebin.com/qSzA3Zvs,
20,9/19/2020,https://pastebin.com/Ee5Vdz6p,,https://pastebin.com/LmwfgNWn,
21,9/20/2020,https://pastebin.com/qFrNusBP,,https://pastebin.com/NUV04ZNT,
22,9/21/2020,https://pastebin.com/7Gm1jNDY,,https://pastebin.com/7GYhazn0,
23,9/22/2020,https://pastebin.com/RWWc10Gv,,https://pastebin.com/6B9pMsLN,
24,9/23/2020,https://pastebin.com/tymqz8WX,,https://pastebin.com/gCPda064,
25,9/24/2020,https://pastebin.com/2AuXxDXq,,https://pastebin.com/Y23Fs3iq,
26,9/25/2020,https://pastebin.com/SgfXVnvD,,https://pastebin.com/JaPyHsW2,
Championship,9/26/2020,https://pastebin.com/1XczZ0XB,,https://pastebin.com/UVwmNk1Z,
