,,East,,Central,,West,
Day,Date,Songlist,Recording,Songlist,Recording,Songlist,Recording
1,3/1/2021,https://gist.github.com/4d4a71e7bd69a58754d13f7832abc24d,,https://gist.github.com/9ff63ae60b0a40c64755eaf64801f251,,https://gist.github.com/9b1607ed1c57c626f497e3861ea0d7f0,
2,3/2/2021,https://gist.github.com/fc917a30d38eb51e335555ab51d2f82d,,https://gist.github.com/c11f7bf33887bb559abca8927c0e0c6f,,https://gist.github.com/a733e02ed48ede5cc09b7ae9353e1e49,
3,3/3/2021,https://gist.github.com/ce201fbf0c96e9c2699d16fe203a09c1,,https://gist.github.com/b90ddb87ef3e0b0812692910ae808161,,https://gist.github.com/e2be23411634888ca52b6d7b61453bc0,
4,3/4/2021,https://gist.github.com/1abc59508a7ff15b3214af4d554aa48b,,https://gist.github.com/e597f69306b73adc6b86bbfcf7f75a00,,https://gist.github.com/b42693d56666d82d38a70a9358518c50,
5,3/5/2021,https://gist.github.com/28404202bb17789efc099f9becb2093f,,https://gist.github.com/3bbb9ad946fd6df006c02873508cc784,,https://gist.github.com/027ea987d88524a78275ffeb9d6db9b8,
6,3/6/2021,https://gist.github.com/5dd60591cb33f508f62f3280fd363794,,https://gist.github.com/33602771c96daccbd7d6aedfad9540bb,,https://gist.github.com/7e77f879a5f15c4ca791bb6cd3bae95b,
7,3/7/2021,https://gist.github.com/e69688360ddf1139168cf99f3a0f8079,,https://gist.github.com/b115f30c9962fdcc2bd0200c5cbb0e45,,https://gist.github.com/046ff1dbf4de6ccb91c8daf4e61a785c,
8,3/8/2021,https://gist.github.com/e74862ea6e94490689a59b2cb0c6e75c,,https://gist.github.com/26a06e2dc2b74a1752b50b7100e341f2,,https://gist.github.com/b0b7ddd8cb626a65e31ba573b7dcd65b,
9,3/9/2021,https://gist.github.com/7c8be8a4c84652f77bd668cd5290decc,,https://gist.github.com/c3115f9927e31b6367df2183ce83a911,,https://gist.github.com/00ccdf452c71580db8249a56822ef326,
10,3/10/2021,https://gist.github.com/b7bc61c55c109b683e645df24dfc9f27,,https://gist.github.com/0917c2d40174ab31382983292c3ae93b,,https://gist.github.com/4258720a10ed6e30fa9864ef210f957c,
11,3/11/2021,https://gist.github.com/f54247d961baa5b256441e05c078cb4f,,https://gist.github.com/019e7977b2b161b8f66c90517c110fc9,,https://gist.github.com/90335588c58a7418f42b96b7ed851a44,
12,3/12/2021,https://gist.github.com/cd8456238b6d2aff050877e90af800a6,,https://gist.github.com/e34b0cff065fbb213d9caf88473ba7aa,,https://gist.github.com/c9e9144b86f0044bbf93dd788f03ca9a,
13,3/13/2021,https://gist.github.com/3a5b9bf30173a8358752854cc0476eb4,,https://gist.github.com/51019101bb0135c51d84a41015fec880,,https://gist.github.com/dc835ea8175a06683ec12ed4f4c47dd9,
14,3/14/2021,https://gist.github.com/359933ad10a2a81c8f88bc07df2737b8,,https://gist.github.com/362a0e14f4a583599b2883ada8fd2f7f,,https://gist.github.com/b1eacac996015cf5f22a5f351efe2139,
15,3/15/2021,https://gist.github.com/de25546f1d65811483e1875f8d50f8ee,,https://gist.github.com/60d158cbde20fcc5a73ac0ce655cdca5,,https://gist.github.com/5d51d395af0e9ab2448d980cd939877d,
16,3/16/2021,https://gist.github.com/f8cc6d9d0388b42ef75f13f8b225c4cc,,https://gist.github.com/a89dc5f0c432447b936aaec8dfc26904,,https://gist.github.com/f9e73d3985ab9ba025b1ae067e207702,
17,3/17/2021,https://gist.github.com/0f5628ca2fb08e7e21d7d46dcd9dfc4c,,https://gist.github.com/52442d0bf7d1b1c5aae6512a9f09ec6a,,https://gist.github.com/e6c6c9795d617880128e95d628112302,
18,3/18/2021,https://gist.github.com/deb13cdd234ed29174b5ca37f9e80704,,https://gist.github.com/4127d6cf3b17b64a5a6ba5d60b1a236a,,https://gist.github.com/12c836ede4a4b93e1b27f4b5bf62f85d,
19,3/19/2021,https://gist.github.com/840556b5baf7b04d2d40a8778db5c832,,https://gist.github.com/00832af7d8fb15583d3154fc067a22aa,,https://gist.github.com/e6b456c6facc9bcd3c3579ad6f0d3705,
20,3/20/2021,https://gist.github.com/c068c691afdd2105c31fa149e1a3a1fb,,https://gist.github.com/868a4c2702544e1b37da3ad9e94017dd,,https://gist.github.com/876f7f83080d5d9d6af51c657873a8f5,
21,3/21/2021,https://gist.github.com/32b727d67b6839de2cd88adecccc2b8f,,https://gist.github.com/9962b5fcc3bf3953c941065ac359c966,,https://gist.github.com/5dea9327dc7b441d938b918f0a23b2c0,
22,3/22/2021,https://gist.github.com/a07050513c2693070eace4287f5ef031,,https://gist.github.com/fba893b61603bc88fc51a22e3c6348bf,,https://gist.github.com/dd04a2b2c23e3173636c55134e656fe7,
23,3/23/2021,https://gist.github.com/b0f2c7f4354f53a2ef50a6c9a42ceb28,,https://gist.github.com/ee78c3422008c5e1da6aff5f910ac521,,https://gist.github.com/9a580e35bbb8d3d2f86d16b6138c71b1,
24,3/24/2021,https://gist.github.com/2ca1227d7ddf63491b66338403ebbc52,,https://gist.github.com/9cf6ea8eb86863c890d15240179305bd,,https://gist.github.com/894161cfc0045aa023cba04b3ef4d8d9,
25,3/25/2021,https://gist.github.com/7b91d36b9de022949fd4f7c9c5a01475,,https://gist.github.com/c75b128c464970fa86f9e9a61ceca810,,https://gist.github.com/3e4184220fdd2b28fdfd02ea1498069a,
26,3/26/2021,https://gist.github.com/d54c3956d2dd2d5e032adb7caa03aafa,,https://gist.github.com/18d4fbbbba906f675ccafb12902a1678,,https://gist.github.com/afc91ae5316754a86f190688c0d915fc,
Championship,3/27/2021,https://gist.github.com/cf4abb9fca25b3647d46655183dbe374,,https://gist.github.com/59574b7725d6c6e7e576b423b6f9240d,,https://gist.github.com/8fe10511582c55380dcac1afae8089fe,
