,,Central,,West,
Day,Date,Songlist,Recording,Songlist,Recording
1,6/1/2020,https://pastebin.com/rtxNHfgd,,https://pastebin.com/DDcdyrJE,
2,6/2/2020,https://pastebin.com/LmD7k1pW,,https://pastebin.com/VE6BDUmF,
3,6/3/2020,,,https://pastebin.com/Tt5zTky4,
4,6/4/2020,https://pastebin.com/g5uFR0At,,https://pastebin.com/HNnDvqVi,
5,6/5/2020,https://pastebin.com/BzZ7Hnda,,https://pastebin.com/mPKRigaf,
6,6/6/2020,https://pastebin.com/R81zTEMy,,https://pastebin.com/5T2EPUzH,
7,6/7/2020,https://pastebin.com/Yf77FFK3,,https://pastebin.com/7gXbupkX,
8,6/8/2020,https://pastebin.com/P1Nyb5Z4,,https://pastebin.com/HsqLhSPw,
9,6/9/2020,https://pastebin.com/3adcztEz,,https://pastebin.com/pzZYpgUR,
10,6/10/2020,https://pastebin.com/9H5NwJGZ,,https://pastebin.com/7gXbupkX,
11,6/11/2020,,,https://pastebin.com/N16SpTCU,
12,6/12/2020,https://pastebin.com/sWQqpBz7,,https://pastebin.com/DeFYGekF,
13,6/13/2020,https://pastebin.com/qsc3CGmy,,https://pastebin.com/eDMdbFTW,
14,6/14/2020,https://pastebin.com/Mqj1mGwS,,https://pastebin.com/y69Xb4HC,
15,6/15/2020,https://pastebin.com/N6DHyjJB,,https://pastebin.com/RjwGyu2N,
16,6/16/2020,https://pastebin.com/pADDz5iD,,https://pastebin.com/RBqHCaMe,
17,6/17/2020,https://pastebin.com/SMGr7dWs,,https://pastebin.com/mVVmqsqW,
18,6/18/2020,https://pastebin.com/3G5Vey24,,https://pastebin.com/3v99c25c,
19,6/19/2020,https://pastebin.com/XfcLXxnk,,https://pastebin.com/nhQKbrTX,
20,6/20/2020,https://pastebin.com/2400DVyt,,https://pastebin.com/f2HZg704,
21,6/21/2020,https://pastebin.com/NTxcw8Hk,,https://pastebin.com/zavt7yce,
22,6/22/2020,https://pastebin.com/va7HHxU3,,https://pastebin.com/820JTkzr,
23,6/23/2020,https://pastebin.com/AsG6XwUG,,https://pastebin.com/5H6v1LRi,
24,6/24/2020,https://pastebin.com/Z4c8b21b,,https://pastebin.com/vTYt2Ds3,
25,6/25/2020,https://pastebin.com/XzZCNfn1,,https://pastebin.com/41VFu3ih,
26,6/26/2020,,,https://pastebin.com/1rC0sL0Q,
Championship,6/27/2020,https://pastebin.com/BZyCkhyq,,https://pastebin.com/KUs3JeF4,
