,,East,,Central,,West,
Day,Date,Songlist,Recording,Songlist,Recording,Songlist,Recording
1,4/26/2021,,,https://gist.github.com/80adec17013d7564ce472ac93a610c9e,,https://gist.github.com/1d4a302bfc551c412c8d23960e3d3590,
2,4/27/2021,https://gist.github.com/9f48e649ea3737a88a8de4aed825ea87,,https://gist.github.com/5da0e5ed6434fb0a13966f7eebe382e8,,https://gist.github.com/2d406c836b735bb4f3b4bd6032b2082d,
3,4/28/2021,https://gist.github.com/8a2cc9bc15cedff7662580756aa542b8,,https://gist.github.com/14c91a6b0550a8b50d68839a1e3376e2,,https://gist.github.com/471b242a00a68a71616cb10151f9051e,
4,4/29/2021,https://gist.github.com/13caaa11be5a5571a7761f5aa16469fa,,https://gist.github.com/d98b3cb645fdb237d04d414bc70ba7f9,,https://gist.github.com/51bf40cd64188032d39b1bd167ef2b89,
5,4/30/2021,https://gist.github.com/15a4b290a68e53bcff1a07a9af5ad5e4,,https://gist.github.com/c9311fdbcf16c196b59dde6964d4c061,,https://pastebin.com/PdeN7NcG,
6,5/1/2021,https://gist.github.com/09511f5bd785d647fcd5dd469a191fa4,,https://gist.github.com/746e4550a1e904fd3bb776181cc0b1d2,,https://gist.github.com/7cf9096527836e4035e78db72ff776dd,
7,5/2/2021,https://gist.github.com/89153db54df1cead4b2adf90149348c8,,https://gist.github.com/b8b3cbca297ccfc15064f5a258d20e89,,https://gist.github.com/48fe5c55da1ba942f46ebae1804cc9f3,
8,5/3/2021,https://gist.github.com/6b295af4c0d9a3714fa5084b316d1efc,,https://gist.github.com/09430481f90b4c317ef63851ed423299,,https://gist.github.com/57bfa26d6307d308a2b5c1d6ce1d8f86,
9,5/4/2021,https://gist.github.com/c047180ad6b4893e3cad352bbeca7c2d,,https://gist.github.com/9665a4667b3866c50e6efe0bf44b27cb,,https://gist.github.com/03f4b769f30cb066514a03fccb92994c,
10,5/5/2021,,,https://gist.github.com/7f62c7a9a71c58591cbe8cdbf27346b9,,https://gist.github.com/debeebb26179a323a84b10eeaca42dba,
11,5/6/2021,https://gist.github.com/7d9dc11a72d88b912c7d3760565ff60f,,https://gist.github.com/af50a0fa976cd987ac6e431050558e09,,https://gist.github.com/66a9a38193ba22580687640abe0af136,
12,5/7/2021,https://gist.github.com/05f7a4d4352431067882893ca4f1e083,,https://gist.github.com/084c872682d662c0c806c2faec4e211e,,https://gist.github.com/cd22519f9549856193c4f2ea7dded511,
13,5/8/2021,https://gist.github.com/1e354dd140d00d3a15f4f7f95147b146,,https://gist.github.com/dc06db60a39e802947ebfa193be5c696,,https://gist.github.com/3482ef2047ebf4589fc109363a564246,
14,5/9/2021,https://gist.github.com/c6b130f59b3f5ccce7c56b6344684c86,,https://gist.github.com/6e504192c4b941401fe30ab456b658bb,,https://gist.github.com/22a774b11a38bf7b9ee0d098ab639f26,
15,5/10/2021,https://gist.github.com/88fe2bd9892a63d795d7146273ecc37e,,https://gist.github.com/954391bd409d165c03da6dcf14538354,,https://gist.github.com/c9463745ac38aabbad0cc263b60beff0,
16,5/11/2021,https://gist.github.com/415b3321ea9b8dc4908ec300809c1c91,,https://gist.github.com/a1e13a88e28624dcbf0d3946bf0cde0e,,https://gist.github.com/b9b7f970456f2bdbcc139e939c731997,
17,5/12/2021,https://gist.github.com/487bfe9d1760529dbdea29ce3db4e45c,,https://gist.github.com/c0001366d6937e965217b80d8264c45d,,https://gist.github.com/d4fe3bf62f4dea092b5d251644a7dbd2,
18,5/13/2021,https://gist.github.com/3981bf10406a37a3510a781b154133b9,,https://gist.github.com/c8c3a81de018c457be0c3841d9b09961,,https://gist.github.com/ea6bde88b3601edb7baf666e1c3b7599,
19,5/14/2021,https://gist.github.com/8c0af57f5efbe786c16e9d756295fd0c,,https://gist.github.com/b92ab67d05c2d0e283770fb15e420c74,,https://gist.github.com/4779daa002471280baa6746a2f4b5f79,
20,5/15/2021,https://gist.github.com/fd05de569aafdf191b6bef54cd6301bb,,https://gist.github.com/69b92d5c8be8b9df0f89cf5709e61100,,https://gist.github.com/daade13aa069b32d17c81cb76ab4a76e,
21,5/16/2021,https://gist.github.com/3c862ada74c548b42e25dcd2c51b375e,,https://gist.github.com/516a472da1618a95dd97dcb4900fe2b3,,https://gist.github.com/f3693582e1250447d178ceff9569452e,
22,5/17/2021,https://gist.github.com/a89d1929bd3be20a2f1ffd1380c6a9d2,,https://gist.github.com/51380790d452de9963786741e9ee8493,,https://gist.github.com/3ed9f1b8654c61eeff7b65b6f2b2a4db,
23,5/18/2021,https://gist.github.com/1458d8916b541b4a29240496248b8ba5,,https://gist.github.com/a43504bc48f7b346d7543f5eb271c793,,https://gist.github.com/ab74f4c31610109d96f723a69e558b3d,
24,5/19/2021,https://gist.github.com/3de65e151c7286ea1c744a2e360a4248,,https://gist.github.com/897b58892b508ec5cb41c7bf565fea77,,https://gist.github.com/c241f9b7797925f1ed356beccb7131b8,
25,5/20/2021,https://gist.github.com/c823e48707ac08f4993261ff25dbf4ab,,https://gist.github.com/8319bc2aee6d525e7d0082d98b51b36e,,https://gist.github.com/01440fb8c19ef7abaa97c2c0d43d4e33,
26,5/21/2021,https://gist.github.com/8eabc3974ed83d87f61e56c73fa6d343,,https://gist.github.com/21507f30f7635ff4426c0e0ca29e1353,,https://gist.github.com/39196b49a8028192636ce70e08f14e27,
27,5/22/2021,https://gist.github.com/8a44556df3a274329377d445b281f90c,,https://gist.github.com/e283d36a110c51b746d73a1cee569417,,https://gist.github.com/c55c96e6a71443dbbc7d3afea1ec0ce8,
