,,Central,,West,
Day,Date,Songlist,Recording,Songlist,Recording
1,3/30/2020,https://pastebin.com/5DSJNtRw,,https://pastebin.com/PZp4Zb10,
2,3/31/2020,https://pastebin.com/QjqrfGYW,,https://pastebin.com/ydyCHm4G,
3,4/1/2020,https://pastebin.com/SvmeRGy6,,https://pastebin.com/dxgXWMSx,
4,4/2/2020,https://pastebin.com/zF6RzaMD,,https://pastebin.com/VskdfXVp,
5,4/3/2020,https://pastebin.com/y0QMJByz,,https://pastebin.com/q6KJwBXE,
6,4/4/2020,https://pastebin.com/sefrEe5U,,https://pastebin.com/8nhsL1gq,
7,4/5/2020,https://pastebin.com/gPHbDxZS,,https://pastebin.com/QYFHDuWG,
8,4/6/2020,https://pastebin.com/7ig5ShJY,,https://pastebin.com/YvsNZuXw,
9,4/7/2020,https://pastebin.com/s2E2kTE2,,https://pastebin.com/2GTGyMxA,
10,4/8/2020,https://pastebin.com/48C6uF1M,,https://pastebin.com/hFFfbwTG,
11,4/9/2020,,,https://pastebin.com/xxP47NhW,
12,4/10/2020,https://pastebin.com/5etpm37f,,https://pastebin.com/b3YKkQ1R,
13,4/11/2020,,,https://pastebin.com/RGFNrxfW,
14,4/12/2020,https://pastebin.com/hCCX0CFx,,https://pastebin.com/gu0V3Daa,
15,4/13/2020,https://pastebin.com/HsceLR0v,,https://pastebin.com/YUpCujZg,
16,4/14/2020,,,https://pastebin.com/FHVtbckE,
17,4/15/2020,https://pastebin.com/mYL2smiM,,https://pastebin.com/yXznSaGY,
18,4/16/2020,https://pastebin.com/SaVCcu0D,,https://pastebin.com/FGVHNbfN,
19,4/17/2020,https://pastebin.com/as9NAzyN,,https://pastebin.com/6EnPf4P8,
20,4/18/2020,https://pastebin.com/iZGCUp1H,,https://pastebin.com/cWcyVS5V,
21,4/19/2020,https://pastebin.com/6zrDS42c,,https://pastebin.com/26iudg6R,
22,4/20/2020,https://pastebin.com/wubmBBxG,,https://pastebin.com/KMrjR0Z3,
23,4/21/2020,https://pastebin.com/bYS0NYJk,,https://pastebin.com/5hvzn3Ea,
24,4/22/2020,https://pastebin.com/Hju1UCrJ,,https://pastebin.com/UVC0VFwE,
25,4/23/2020,https://pastebin.com/2jqGtdhe,,https://pastebin.com/NaQt4t6b,
26,4/24/2020,https://pastebin.com/eLygWhUc,,https://pastebin.com/GVg2ve3t,
Championship,4/25/2020,https://pastebin.com/E4T18NT0,,https://pastebin.com/0etn041g,
